const_c,conservative,labour,ld,other,spoil,winner,true_winner,match
E14000530,29452,18565,12507,3694,2130,conservative,conservative,1
E14000531,20937,20755,3227,2884,288,conservative,conservative,1
E14000532,33894,19069,7374,2832,86,conservative,conservative,1
E14000533,21596,25412,3497,4528,927,labour,conservative,0
E14000534,30984,15193,16305,4697,1225,conservative,conservative,1
E14000535,23644,29184,5157,4266,758,labour,conservative,0
E14000536,35666,19299,16489,3209,2337,conservative,conservative,1
E14000537,32925,13225,5136,3449,678,conservative,labour,0
E14000538,31909,24244,13286,3146,1427,conservative,conservative,1
E14000539,35422,29127,15863,3369,1036,conservative,conservative,1
E14000540,35302,22984,11707,3078,1071,conservative,labour,0
E14000541,19960,21870,6666,3639,1795,labour,labour,1
E14000542,20955,22173,6641,3727,1907,labour,labour,1
E14000543,34090,10181,5536,3808,1343,conservative,conservative,1
E14000544,26166,19589,6033,3831,397,conservative,conservative,1
E14000545,31940,21119,9450,3137,3892,conservative,conservative,1
E14000546,25677,30173,4232,5401,1145,labour,conservative,0
E14000547,19888,26265,7439,5495,1998,labour,liberal_dem,0
E14000548,23173,28947,6392,3402,1550,labour,labour,1
E14000549,33049,27368,11785,3809,2089,conservative,labour,0
E14000550,31268,13532,8281,6395,7828,conservative,conservative,1
E14000551,29354,14118,10102,3340,901,conservative,conservative,1
E14000552,27398,34444,5935,3911,0,labour,labour,1
E14000553,40270,30965,12601,4353,3045,conservative,labour,0
E14000554,29763,13216,4240,3159,381,conservative,conservative,1
E14000555,32955,39451,13586,3524,18,labour,labour,1
E14000556,27234,16272,13165,3234,4522,conservative,conservative,1
E14000557,37941,12565,9939,2751,6341,conservative,conservative,1
E14000558,28535,14091,8486,3029,995,conservative,conservative,1
E14000559,30251,18187,4377,2736,8,conservative,labour,0
E14000560,21248,32718,3763,5091,11,labour,labour,1
E14000561,22509,32355,3669,3197,3,labour,labour,1
E14000562,25056,31900,4788,3995,320,labour,labour,1
E14000563,23598,34998,5436,3225,4,labour,labour,1
E14000564,24358,40286,4645,6894,67,labour,labour,1
E14000565,24821,27556,4138,3660,314,labour,conservative,0
E14000566,24183,29002,4111,3715,265,labour,labour,1
E14000567,21981,43233,3247,4736,0,labour,labour,1
E14000568,24792,29189,4084,3751,259,labour,labour,1
E14000569,32122,15624,4430,3513,421,conservative,conservative,1
E14000570,33706,18015,5396,3523,102,conservative,labour,0
E14000571,35875,17386,6451,4055,953,conservative,labour,0
E14000572,31942,12739,3869,2503,551,conservative,conservative,1
E14000573,29287,11090,4421,2984,540,conservative,conservative,1
E14000574,33601,12162,3738,3953,2325,conservative,labour,0
E14000575,27105,17228,3360,3942,16,conservative,conservative,1
E14000576,33614,17141,12414,3797,2194,conservative,conservative,1
E14000577,25067,25175,2742,3908,2980,labour,conservative,0
E14000578,34897,9225,6235,2708,2507,conservative,conservative,1
E14000579,33774,16826,4384,2848,651,conservative,labour,0
E14000580,39814,8997,5040,2850,4276,conservative,conservative,1
E14000581,35743,14241,5658,3752,742,conservative,labour,0
E14000582,26237,29426,3833,5298,1018,labour,conservative,0
E14000583,24316,34767,5444,4472,170,labour,conservative,0
E14000584,23631,26770,7357,5959,2416,labour,conservative,0
E14000585,23671,28087,7194,6045,2313,labour,conservative,0
E14000586,27026,16655,29634,2769,257,ld,conservative,0
E14000587,20579,25830,6497,6063,1903,labour,labour,1
E14000588,20572,23865,7012,3877,1862,labour,labour,1
E14000589,20094,27432,7740,4122,1648,labour,labour,1
E14000590,32277,16559,6949,3294,3232,conservative,conservative,1
